 time, stf, M0, fz, dt_dxyz
       0.11100001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.11200001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.11300001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.11400000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.11500000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.11600000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.11700001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.11800001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.11900001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.12000000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.12100000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.12200000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.12300001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.12400001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.12500001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.12600000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.12700000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.12800000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.12900001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.13000001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.13100001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.13200000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.13300000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.13400000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.13500001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.13600001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.13700001E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.13800000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
       0.13900000E-04,      0.00000000E+00,      0.20821496E-03,      0.10000000E+01,      0.12500000E+11
