 x, y, z, ix, iy, iz
       0.61000006E-04,      0.96999996E-04,     -0.99999977E-06,     131,      54,       5
       0.63000007E-04,      0.96999996E-04,     -0.99999977E-06,     132,      54,       5
       0.65000007E-04,      0.96999996E-04,     -0.99999977E-06,     133,      54,       5
       0.67000001E-04,      0.96999996E-04,     -0.99999977E-06,     134,      54,       5
       0.69000002E-04,      0.96999996E-04,     -0.99999977E-06,     135,      54,       5
       0.71000002E-04,      0.96999996E-04,     -0.99999977E-06,     136,      54,       5
       0.73000003E-04,      0.96999996E-04,     -0.99999977E-06,     137,      54,       5
       0.75000004E-04,      0.96999996E-04,     -0.99999977E-06,     138,      54,       5
       0.77000004E-04,      0.96999996E-04,     -0.99999977E-06,     139,      54,       5
       0.79000005E-04,      0.96999996E-04,     -0.99999977E-06,     140,      54,       5
       0.81000006E-04,      0.96999996E-04,     -0.99999977E-06,     141,      54,       5
       0.83000006E-04,      0.96999996E-04,     -0.99999977E-06,     142,      54,       5
       0.85000007E-04,      0.96999996E-04,     -0.99999977E-06,     143,      54,       5
       0.87000008E-04,      0.96999996E-04,     -0.99999977E-06,     144,      54,       5
       0.89000001E-04,      0.96999996E-04,     -0.99999977E-06,     145,      54,       5
       0.91000002E-04,      0.96999996E-04,     -0.99999977E-06,     146,      54,       5
       0.93000002E-04,      0.96999996E-04,     -0.99999977E-06,     147,      54,       5
       0.95000003E-04,      0.96999996E-04,     -0.99999977E-06,     148,      54,       5
       0.97000004E-04,      0.96999996E-04,     -0.99999977E-06,     149,      54,       5
       0.99000004E-04,      0.96999996E-04,     -0.99999977E-06,     150,      54,       5
       0.10100001E-03,      0.96999996E-04,     -0.99999977E-06,     151,      54,       5
       0.10300001E-03,      0.96999996E-04,     -0.99999977E-06,     152,      54,       5
       0.10500001E-03,      0.96999996E-04,     -0.99999977E-06,     153,      54,       5
       0.10700001E-03,      0.96999996E-04,     -0.99999977E-06,     154,      54,       5
       0.10900001E-03,      0.96999996E-04,     -0.99999977E-06,     155,      54,       5
       0.11100000E-03,      0.96999996E-04,     -0.99999977E-06,     156,      54,       5
       0.11300000E-03,      0.96999996E-04,     -0.99999977E-06,     157,      54,       5
       0.11500000E-03,      0.96999996E-04,     -0.99999977E-06,     158,      54,       5
       0.11700000E-03,      0.96999996E-04,     -0.99999977E-06,     159,      54,       5
       0.11900000E-03,      0.96999996E-04,     -0.99999977E-06,     160,      54,       5
       0.12100000E-03,      0.96999996E-04,     -0.99999977E-06,     161,      54,       5
       0.12300001E-03,      0.96999996E-04,     -0.99999977E-06,     162,      54,       5
       0.12500001E-03,      0.96999996E-04,     -0.99999977E-06,     163,      54,       5
       0.12700001E-03,      0.96999996E-04,     -0.99999977E-06,     164,      54,       5
       0.12900001E-03,      0.96999996E-04,     -0.99999977E-06,     165,      54,       5
       0.13100001E-03,      0.96999996E-04,     -0.99999977E-06,     166,      54,       5
       0.13300001E-03,      0.96999996E-04,     -0.99999977E-06,     167,      54,       5
       0.13500001E-03,      0.96999996E-04,     -0.99999977E-06,     168,      54,       5
       0.13700001E-03,      0.96999996E-04,     -0.99999977E-06,     169,      54,       5
       0.13900001E-03,      0.96999996E-04,     -0.99999977E-06,     170,      54,       5
       0.14100001E-03,      0.96999996E-04,     -0.99999977E-06,     171,      54,       5
       0.14300000E-03,      0.96999996E-04,     -0.99999977E-06,     172,      54,       5
       0.14500000E-03,      0.96999996E-04,     -0.99999977E-06,     173,      54,       5
       0.14700000E-03,      0.96999996E-04,     -0.99999977E-06,     174,      54,       5
       0.14900000E-03,      0.96999996E-04,     -0.99999977E-06,     175,      54,       5
       0.15100000E-03,      0.96999996E-04,     -0.99999977E-06,     176,      54,       5
       0.15300000E-03,      0.96999996E-04,     -0.99999977E-06,     177,      54,       5
       0.15500000E-03,      0.96999996E-04,     -0.99999977E-06,     178,      54,       5
       0.15700000E-03,      0.96999996E-04,     -0.99999977E-06,     179,      54,       5
       0.15900000E-03,      0.96999996E-04,     -0.99999977E-06,     180,      54,       5
       0.16100000E-03,      0.96999996E-04,     -0.99999977E-06,     181,      54,       5
       0.16300000E-03,      0.96999996E-04,     -0.99999977E-06,     182,      54,       5
       0.16500000E-03,      0.96999996E-04,     -0.99999977E-06,     183,      54,       5
       0.16700001E-03,      0.96999996E-04,     -0.99999977E-06,     184,      54,       5
       0.16900001E-03,      0.96999996E-04,     -0.99999977E-06,     185,      54,       5
       0.17100001E-03,      0.96999996E-04,     -0.99999977E-06,     186,      54,       5
       0.17300001E-03,      0.96999996E-04,     -0.99999977E-06,     187,      54,       5
       0.17500001E-03,      0.96999996E-04,     -0.99999977E-06,     188,      54,       5
       0.17700001E-03,      0.96999996E-04,     -0.99999977E-06,     189,      54,       5
       0.17900001E-03,      0.96999996E-04,     -0.99999977E-06,     190,      54,       5
       0.18100001E-03,      0.96999996E-04,     -0.99999977E-06,     191,      54,       5
       0.18300001E-03,      0.96999996E-04,     -0.99999977E-06,     192,      54,       5
       0.18500000E-03,      0.96999996E-04,     -0.99999977E-06,     193,      54,       5
       0.18700000E-03,      0.96999996E-04,     -0.99999977E-06,     194,      54,       5
       0.18900000E-03,      0.96999996E-04,     -0.99999977E-06,     195,      54,       5
       0.19100000E-03,      0.96999996E-04,     -0.99999977E-06,     196,      54,       5
       0.19300000E-03,      0.96999996E-04,     -0.99999977E-06,     197,      54,       5
       0.19500000E-03,      0.96999996E-04,     -0.99999977E-06,     198,      54,       5
       0.19700000E-03,      0.96999996E-04,     -0.99999977E-06,     199,      54,       5
       0.19900000E-03,      0.96999996E-04,     -0.99999977E-06,     200,      54,       5
       0.20100000E-03,      0.96999996E-04,     -0.99999977E-06,     201,      54,       5
       0.20300000E-03,      0.96999996E-04,     -0.99999977E-06,     202,      54,       5
       0.20500000E-03,      0.96999996E-04,     -0.99999977E-06,     203,      54,       5
      -0.20499999E-03,      0.98999997E-04,     -0.99999977E-06,      -2,      55,       5
      -0.20299999E-03,      0.98999997E-04,     -0.99999977E-06,      -1,      55,       5
      -0.20099999E-03,      0.98999997E-04,     -0.99999977E-06,       0,      55,       5
      -0.19900000E-03,      0.98999997E-04,     -0.99999977E-06,       1,      55,       5
      -0.19700000E-03,      0.98999997E-04,     -0.99999977E-06,       2,      55,       5
      -0.19500000E-03,      0.98999997E-04,     -0.99999977E-06,       3,      55,       5
      -0.19300000E-03,      0.98999997E-04,     -0.99999977E-06,       4,      55,       5
      -0.19100000E-03,      0.98999997E-04,     -0.99999977E-06,       5,      55,       5
      -0.18900000E-03,      0.98999997E-04,     -0.99999977E-06,       6,      55,       5
      -0.18700000E-03,      0.98999997E-04,     -0.99999977E-06,       7,      55,       5
      -0.18500000E-03,      0.98999997E-04,     -0.99999977E-06,       8,      55,       5
      -0.18300000E-03,      0.98999997E-04,     -0.99999977E-06,       9,      55,       5
      -0.18100000E-03,      0.98999997E-04,     -0.99999977E-06,      10,      55,       5
      -0.17900000E-03,      0.98999997E-04,     -0.99999977E-06,      11,      55,       5
      -0.17699999E-03,      0.98999997E-04,     -0.99999977E-06,      12,      55,       5
      -0.17499999E-03,      0.98999997E-04,     -0.99999977E-06,      13,      55,       5
      -0.17299999E-03,      0.98999997E-04,     -0.99999977E-06,      14,      55,       5
      -0.17099999E-03,      0.98999997E-04,     -0.99999977E-06,      15,      55,       5
      -0.16899999E-03,      0.98999997E-04,     -0.99999977E-06,      16,      55,       5
      -0.16699999E-03,      0.98999997E-04,     -0.99999977E-06,      17,      55,       5
      -0.16499999E-03,      0.98999997E-04,     -0.99999977E-06,      18,      55,       5
      -0.16299999E-03,      0.98999997E-04,     -0.99999977E-06,      19,      55,       5
      -0.16099999E-03,      0.98999997E-04,     -0.99999977E-06,      20,      55,       5
      -0.15899999E-03,      0.98999997E-04,     -0.99999977E-06,      21,      55,       5
      -0.15700000E-03,      0.98999997E-04,     -0.99999977E-06,      22,      55,       5
      -0.15500000E-03,      0.98999997E-04,     -0.99999977E-06,      23,      55,       5
      -0.15300000E-03,      0.98999997E-04,     -0.99999977E-06,      24,      55,       5
      -0.15100000E-03,      0.98999997E-04,     -0.99999977E-06,      25,      55,       5
      -0.14900000E-03,      0.98999997E-04,     -0.99999977E-06,      26,      55,       5
      -0.14700000E-03,      0.98999997E-04,     -0.99999977E-06,      27,      55,       5
      -0.14500000E-03,      0.98999997E-04,     -0.99999977E-06,      28,      55,       5
      -0.14300000E-03,      0.98999997E-04,     -0.99999977E-06,      29,      55,       5
      -0.14100000E-03,      0.98999997E-04,     -0.99999977E-06,      30,      55,       5
      -0.13900000E-03,      0.98999997E-04,     -0.99999977E-06,      31,      55,       5
      -0.13700000E-03,      0.98999997E-04,     -0.99999977E-06,      32,      55,       5
      -0.13499999E-03,      0.98999997E-04,     -0.99999977E-06,      33,      55,       5
      -0.13299999E-03,      0.98999997E-04,     -0.99999977E-06,      34,      55,       5
      -0.13099999E-03,      0.98999997E-04,     -0.99999977E-06,      35,      55,       5
      -0.12899999E-03,      0.98999997E-04,     -0.99999977E-06,      36,      55,       5
      -0.12699999E-03,      0.98999997E-04,     -0.99999977E-06,      37,      55,       5
      -0.12499999E-03,      0.98999997E-04,     -0.99999977E-06,      38,      55,       5
      -0.12299999E-03,      0.98999997E-04,     -0.99999977E-06,      39,      55,       5
      -0.12100000E-03,      0.98999997E-04,     -0.99999977E-06,      40,      55,       5
      -0.11900000E-03,      0.98999997E-04,     -0.99999977E-06,      41,      55,       5
      -0.11700000E-03,      0.98999997E-04,     -0.99999977E-06,      42,      55,       5
      -0.11500000E-03,      0.98999997E-04,     -0.99999977E-06,      43,      55,       5
      -0.11299999E-03,      0.98999997E-04,     -0.99999977E-06,      44,      55,       5
      -0.11099999E-03,      0.98999997E-04,     -0.99999977E-06,      45,      55,       5
      -0.10899999E-03,      0.98999997E-04,     -0.99999977E-06,      46,      55,       5
      -0.10699999E-03,      0.98999997E-04,     -0.99999977E-06,      47,      55,       5
      -0.10499999E-03,      0.98999997E-04,     -0.99999977E-06,      48,      55,       5
      -0.10300000E-03,      0.98999997E-04,     -0.99999977E-06,      49,      55,       5
      -0.10100000E-03,      0.98999997E-04,     -0.99999977E-06,      50,      55,       5
